2002-1,1
2002-2,11 12 13
2002-3,1
2002-4,5
2002-5,5 19
2002-6,6
2002-7,17
2002-8,15
2002-9,20 21 22
2002-10,3
2002-12,25
2003-1,1 31
2003-2,1 2
2003-3,1
2003-4,5
2003-5,5 8
2003-6,6
2003-7,17
2003-8,15
2003-9,10 11 12
2003-10,3
2003-12,25
2004-1,1 21 22 23
2004-3,1
2004-4,5
2004-5,5 26
2004-6,6
2004-7,17
2004-8,15
2004-9,27 28 29
2004-10,3
2004-12,25
2005-1,1
2005-2,8 9 10
2005-3,1
2005-4,5
2005-5,5 15
2005-6,6
2005-7,17
2005-8,15
2005-9,17 18 19
2005-10,3
2005-12,25
2006-1,1 28 29 30
2006-3,1
2006-4,5
2006-5,5
2006-6,6
2006-8,15
2006-10,3 5 6 7
2006-12,25
2007-1,1
2007-2,17 18 19
2007-3,1
2007-4,5
2007-5,5 24
2007-6,6
2007-8,15
2007-9,24 25 26
2007-10,3
2007-12,25
2008-1,1
2008-2,6 7 8
2008-3,1
2008-4,9
2008-5,5 12
2008-6,6
2008-8,15
2008-9,13 14 15
2008-10,3
2008-12,25
2009-1,1 25 26 27
2009-3,1
2009-5,5
2009-6,6
2009-8,15
2009-10,2 3
2009-12,25
2010-1,1
2010-2,13 14 15
2010-3,1
2010-5,5 21
2010-6,6
2010-8,15
2010-9,21 22 23
2010-10,3
2010-12,25
2011-1,1
2011-2,2 3 4
2011-3,1
2011-5,5 10
2011-6,6
2011-8,15
2011-9,11 12 13
2011-10,3
2011-12,25
2012-1,1 22 23 24
2012-3,1
2012-4,11
2012-5,5 28
2012-6,6
2012-8,15
2012-9,29 30
2012-10,1 3
2012-12,25
2013-1,1
2013-2,9 10 11
2013-3,1
2013-5,5 17
2013-6,6
2013-8,15
2013-9,18 19 20
2013-10,3
2013-12,25
2014-1,1 30 31
2014-2,1
2014-3,1
2014-5,5 6
2014-6,6
2014-8,15
2014-9,7 8 9
2014-10,3
2014-12,25
2015-1,1
2015-2,18 19 20
2015-3,1
2015-5,5 25
2015-6,6
2015-8,15
2015-9,26 27 28
2015-10,3 9
2015-12,25
2016-1,1
2016-2,7 8 9
2016-3,1
2016-5,5 14
2016-6,6
2016-8,15
2016-9,14 15 16
2016-10,3 9
2016-12,25
2017-1,1 27 28 29 30
2017-3,1
2017-5,3 5 9
2017-6,6
2017-8,15
2017-10,3 4 5 6 9
2017-12,25
2018-1,1
2018-2,15 16 17
2018-3,1
2018-5,5 7 22
2018-6,6
2018-8,15
2018-9,23 24 25
2018-10,3 9
2018-12,25
2019-1,1
2019-2,4 5 6
2019-3,1
2019-5,5 6 12
2019-6,6
2019-8,15
2019-9,12 13 14
2019-10,3 9
2019-12,25
2020-1,1 24 25 26 27
2020-3,1
2020-4,15 30
2020-5,5
2020-6,6
2020-8,15 17
2020-9,30
2020-10,1 2 3 9
2020-12,25
2021-1,1
2021-2,11 12 13
2021-3,1
2021-5,5 19
2021-6,6
2021-8,15 16
2021-9,20 21 22
2021-10,3 4 9 11
2021-12,25
2022-1,1 31
2022-2,1 2
2022-3,1 9
2022-5,5 8
2022-6,1 6
2022-8,15
2022-9,9 10 11 12
2022-10,3 9 10
2022-12,25
2023-1,1 21 22 23 24
2023-3,1
2023-5,5 27 29
2023-6,6
2023-8,15
2023-9,28 29 30
2023-10,2 3 9
2023-12,25
2024-1,1
2024-2,9 10 11 12
2024-3,1
2024-4,10
2024-5,5 6 15
2024-6,6
2024-8,15
2024-9,16 17 18
2024-10,1 3 9
2024-12,25
2025-1,1 28 29 30
2025-3,1 3
2025-5,5 6
2025-6,6
2025-8,15
2025-10,3 5 6 7 9
2025-12,25
2026-1,1
2026-2,16 17 18
2026-3,1 2
2026-5,5 24 25
2026-6,6
2026-8,15 17
2026-9,24 25 26
2026-10,3 5 9
2026-12,25
2027-1,1
2027-2,6 8
2027-3,1
2027-5,1 5 13
2027-6,6
2027-7,17
2027-8,15
2027-9,14 15 16
2027-10,3 9 11
2027-12,25
